app_id|customer_id|order_id|update_time|active|cluster_id|count|creation_time|gateway|instrument|paymode|price|product_id|promotions|quantity|sap_id|total_quantity
grocery-app|000000000024|SUM-0000016017-17|4c0c0710-7c3f-11e7-a25b-00155d1ce602|True|T793|2.0|4c0c0710-7c3f-11e7-a25b-00155d1ce602|<null>|COD|'[''COD'']'|270.0|000000000491321170|<null>|1|000000000491321170|2
grocery-desktop|000000000078|SSM-0000115099-17|a784bae0-7dd1-11e7-a8b0-00155d1ce602|True|2000|4.0|a784bae0-7dd1-11e7-a8b0-00155d1ce602|<null>|COD|'[''COD'']'|0.0|000000000400004083|'{''BOGO'': 137.0, ''ORDER_THRESHOLD_DISCOUNT'': 0.0}'|2|000000000400004083|22
grocery-desktop|000000000007|SSC-0000097016-17|36c87330-7743-11e7-aa45-00155d1ce601|True|2000|18.0|36c87330-7743-11e7-aa45-00155d1ce601|<null>|COD|'[''COD'']'|6.0|000000000400004135|'{''MONEY_OFF'': 2.5, ''ORDER_THRESHOLD_DISCOUNT'': 0.0}'|3|000000000400004135|72
grocery-desktop|000000000007|SSC-0000109055-17|95879c70-7b67-11e7-a25b-00155d1ce602|True|2000|4.0|95879c70-7b67-11e7-a25b-00155d1ce602|<null>|COD|'[''COD'']'|220.0|000000000400004249|<null>|2|000000000400004249|8
grocery-desktop|000000000002|SSC-0000099013-17|4e0c1000-7811-11e7-8be2-00155d1ce602|True|2000|4.0|4e0c1000-7811-11e7-8be2-00155d1ce602|<null>|COD|'[''COD'']'|133.66|000000000400004081|'{''MONEY_OFF'': 1.34}'|1|000000000400004081|10
grocery-desktop|000000000128|SSM-0000097120-17|3ce601d0-7782-11e7-a2f2-00155d1ce602|True|2000|4.0|3ce601d0-7782-11e7-a2f2-00155d1ce602|<null>|COD|'[''COD'']'|135.0|000000000400004081|<null>|1|000000000400004081|7
grocery-desktop|000000000002|SSC-0000097096-17|63ea9120-7777-11e7-a2f2-00155d1ce602|True|2000|5.0|63ea9120-7777-11e7-a2f2-00155d1ce602|<null>|COD|'[''COD'']'|22.0|000000000400004095|'{''MONEY_OFF'': 10.0}'|1|000000000400004095|33
grocery-app|000000000026|SUM-0000021008-17|2d5e50e0-7dc3-11e7-a8b0-00155d1ce602|True|T793|1.0|2d5e50e0-7dc3-11e7-a8b0-00155d1ce602|<null>|COD|'[''COD'']'|125.0|000000000490808124|<null>|1|000000000490808124|1
grocery-desktop|000000000007|SSC-0000097085-17|bfaea3c0-7772-11e7-a2f2-00155d1ce602|True|2000|13.0|bfaea3c0-7772-11e7-a2f2-00155d1ce602|<null>|COD|'[''COD'']'|5.0|000000000400004135|<null>|1|000000000400004135|78
grocery-desktop|000000000138|SSM-0000103021-17|80b32080-784c-11e7-8be2-00155d1ce602|True|2000|4.0|80b32080-784c-11e7-8be2-00155d1ce602|<null>|COD|'[''COD'']'|133.66|000000000400004081|'{''MONEY_OFF'': 1.34}'|1|000000000400004081|11
grocery-desktop|000000000007|SSC-0000109048-17|69cea770-7b5f-11e7-a25b-00155d1ce602|True|2000|4.0|69cea770-7b5f-11e7-a25b-00155d1ce602|<null>|COD|'[''RCS'', ''COD'']'|220.0|000000000400004249|<null>|2|000000000400004249|8
grocery-desktop|000000000005|SSC-0000108016-17|6f15cb90-7a93-11e7-a25b-00155d1ce602|True|2000|2.0|6f15cb90-7a93-11e7-a25b-00155d1ce602|<null>|RCS|'[''RCS'']'|110.0|000000000400004254|<null>|1|000000000400004254|2
grocery-desktop|000000000007|SSC-0000098015-17|1cdb2140-76c4-11e7-aa45-00155d1ce601|True|2000|10.0|1cdb2140-76c4-11e7-aa45-00155d1ce601|<null>|COD|'[''COD'']'|31.0|000000000400004145|<null>|1|000000000400004145|10
grocery-desktop|000000000020|SSM-0000097020-17|5976d150-7744-11e7-aa45-00155d1ce601|True|2000|14.0|5976d150-7744-11e7-aa45-00155d1ce601|<null>|CREDIT_CARD|'[''RCS'', ''BillDesk'']'|97.64|000000000400004173|'{''MONEY_OFF'': 62.5, ''ORDER_THRESHOLD_DISCOUNT'': 0.0, ''SINGLE_COUPON'': 1.84}'|2|000000000400004173|57
grocery-app|000000000009|SUM-0000013011-17|3a076f70-78e1-11e7-8068-00155d1ce602|True|T794|8.0|3a076f70-78e1-11e7-8068-00155d1ce602|<null>|COD|'[''COD'']'|121.0|000000000490002069|<null>|1|000000000490002069|14
grocery-app|000000000009|SUM-0000013006-17|845d8ba0-78e0-11e7-8068-00155d1ce602|True|T794|5.0|845d8ba0-78e0-11e7-8068-00155d1ce602|<null>|COD|'[''COD'']'|55.0|000000000490003120|<null>|1|000000000490003120|8
grocery-desktop|000000000020|SSM-0000097060-17|d3e0aaf0-7768-11e7-a2f2-00155d1ce602|True|2000|10.0|d3e0aaf0-7768-11e7-a2f2-00155d1ce602|<null>|CREDIT_CARD|'[''RCS'', ''BillDesk'']'|97.64|000000000400004173|'{''MONEY_OFF'': 62.5, ''ORDER_THRESHOLD_DISCOUNT'': 11.85, ''SINGLE_COUPON'': 1.84}'|2|000000000400004173|59
grocery-desktop|000000000005|SSC-0000097074-17|cac58660-776e-11e7-a2f2-00155d1ce602|True|2000|3.0|cac58660-776e-11e7-a2f2-00155d1ce602|<null>|RCS|'[''RCS'']'|28.02|000000000400004091|'{''SINGLE_COUPON'': 3.98}'|1|000000000400004091|11
grocery-app|000000000009|SUM-0000013008-17|c81c1320-78e0-11e7-8068-00155d1ce602|True|T794|7.0|c81c1320-78e0-11e7-8068-00155d1ce602|<null>|COD|'[''COD'']'|196.0|000000000490009137|<null>|1|000000000490009137|10
grocery-desktop|000000000007|SSC-0000114045-17|ff9c4dc0-7e70-11e7-a8b0-00155d1ce602|True|2000|1.0|ff9c4dc0-7e70-11e7-a8b0-00155d1ce602|<null>|COD|'[''COD'']'|220.0|000000000400004243|<null>|2|000000000400004243|2
grocery-app|000000000009|SUM-0000021006-17|afcefbb0-7d9b-11e7-a8b0-00155d1ce602|True|T794|6.0|afcefbb0-7d9b-11e7-a8b0-00155d1ce602|<null>|COD|'[''COD'']'|175.0|000000000490992304|<null>|1|000000000490992304|8
grocery-desktop|000000000053|SSC-0000109102-17|0aa231e0-7c27-11e7-a25b-00155d1ce602|True|2000|2.0|0aa231e0-7c27-11e7-a25b-00155d1ce602|<null>|RCS|'[''RCS'']'|91.0|000000000490000001|'{''MONEY_OFF'': 9.0}'|1|000000000490000001|2
grocery-desktop|000000000018|SSC-0000111014-17|351d4510-7cf2-11e7-a25b-00155d1ce602|True|2000|10.0|351d4510-7cf2-11e7-a25b-00155d1ce602|<null>|COD|'[''RCS'', ''COD'']'|146.4|000000000400004113750|'{''ORDER_THRESHOLD_DISCOUNT'': 0.8, ''SINGLE_COUPON'': 1.0}'|2|000000000400004113|36
grocery-desktop|000000000034|SSC-0000110025-17|b9bf10a0-7cde-11e7-a25b-00155d1ce602|True|2000|2.0|b9bf10a0-7cde-11e7-a25b-00155d1ce602|<null>|COD|'[''COD'']'|45.0|000000000400004093|<null>|1|000000000400004093|2
grocery-desktop|000000000020|SSM-0000097062-17|b12df520-7769-11e7-a2f2-00155d1ce602|True|2000|5.0|b12df520-7769-11e7-a2f2-00155d1ce602|<null>|CREDIT_CARD|'[''RCS'', ''BillDesk'']'|97.64|000000000400004173|'{''MONEY_OFF'': 62.5, ''ORDER_THRESHOLD_DISCOUNT'': 0.0, ''SINGLE_COUPON'': 1.84}'|2|000000000400004173|63
grocery-desktop|000000000002|SSC-0000103112-17|e26e9550-78f8-11e7-8068-00155d1ce602|True|2000|1.0|e26e9550-78f8-11e7-8068-00155d1ce602|<null>|COD|'[''COD'']'|0.0|000000000400004096|'{''BXGY'': 65.0, ''ORDER_THRESHOLD_DISCOUNT'': 0.0}'|2|000000000400004096|2
grocery-desktop|000000000017|SSC-0000115111-17|09d23db0-7e56-11e7-a8b0-00155d1ce602|True|2000|8.0|09d23db0-7e56-11e7-a8b0-00155d1ce602|<null>|RCS|'[''RCS'']'|45.0|000000000400004144|<null>|1|000000000400004144|28
grocery-desktop|000000000106|SSD-0000115015-17|364cca80-7d99-11e7-a8b0-00155d1ce602|True|2000|9.0|364cca80-7d99-11e7-a8b0-00155d1ce602|<null>|CREDIT_CARD|'[''BillDesk'']'|90.72|000000000400004237|'{''MONEY_OFF'': 15.0, ''ORDER_THRESHOLD_DISCOUNT'': 2.85}'|1|000000000400004237|39
grocery-desktop|000000000159|SSM-0000119011-17|93a338a0-8405-11e7-80dc-00155d1ce602|True|2000|4.0|93a338a0-8405-11e7-80dc-00155d1ce602|<null>|COD|'[''COD'']'|136.0|000000000400004125|<null>|1|000000000400004125|10
grocery-app|000000000029|SUM-0000027006-17|0ba2eee0-8410-11e7-80dc-00155d1ce602|True|T793|1.0|0ba2eee0-8410-11e7-80dc-00155d1ce602|<null>|COD|'[''COD'']'|190.0|000000000491299511|<null>|2|000000000491299511|2
grocery-desktop|000000000003|SSM-0000119006-17|44540ba0-83fe-11e7-80dc-00155d1ce602|True|2000|4.0|44540ba0-83fe-11e7-80dc-00155d1ce602|<null>|COD|'[''COD'']'|272.0|000000000400004125|<null>|2|000000000400004125|10
grocery-app|000000000001|SUC-0000014001-17|5e5fc160-7850-11e7-8be2-00155d1ce602|True|T795|1.0|5e5fc160-7850-11e7-8be2-00155d1ce602|<null>|COD|'[''COD'']'|10.0|000000000490072155|<null>|1|000000000490072155|1
grocery-desktop|000000000007|SSC-0000097087-17|e493fb90-7772-11e7-a2f2-00155d1ce602|True|2000|13.0|e493fb90-7772-11e7-a2f2-00155d1ce602|<null>|COD|'[''COD'']'|5.0|000000000400004135|<null>|1|000000000400004135|78
grocery-desktop|000000000078|SSM-0000103088-17|5efa70f0-78e3-11e7-8068-00155d1ce602|True|2000|3.0|5efa70f0-78e3-11e7-8068-00155d1ce602|<null>|COD|'[''RCS'', ''COD'']'|276.0|000000000400004084|<null>|2|000000000400004084|10
grocery-desktop|000000000007|SSC-0000108144-17|2cdd84e0-7c12-11e7-a25b-00155d1ce602|True|2000|2.0|2cdd84e0-7c12-11e7-a25b-00155d1ce602|<null>|COD|'[''COD'']'|538.0|000000000400004131|'{''ORDER_THRESHOLD_DISCOUNT'': 2.5}'|4|000000000400004131|42
grocery-desktop|000000000056|SSC-0000115125-17|34d94070-7e61-11e7-a8b0-00155d1ce602|True|2000|4.0|34d94070-7e61-11e7-a8b0-00155d1ce602|<null>|COD|'[''COD'']'|120.14|000000000400004127|'{''ORDER_THRESHOLD_DISCOUNT'': 6.76, ''SINGLE_COUPON'': 8.39}'|1|000000000400004127|73
grocery-desktop|000000000079|SSC-0000109063-17|939a7c00-7b73-11e7-a25b-00155d1ce602|True|2000|5.0|939a7c00-7b73-11e7-a25b-00155d1ce602|<null>|COD|'[''RCS'', ''COD'']'|260.3|000000000400004174|'{''ORDER_THRESHOLD_DISCOUNT'': 6.85}'|2|000000000400004174|17
