app_id|cluster_id|product_id|update_time|active|boost|brand|category_code|category_name|cluster_name|creation_time|grouping_id|image_url|mrp|new|price|price_margin|product_name|sap_id|url|variants
grocery-desktop|2000|000000000400004129|ec2ba080-7784-11e7-a2f2-00155d1ce602|True|0.0|BANISH|523|Masoor Dal|Bangalore North|00de9c90-6569-11e7-a2f2-00155d1ce602|<null>|images/h2c/h76/8806379388958.jpg|135.0|<null>|135.0|<null>|MANGO|000000000400004129|/Grocery-%26-Staples/Dals-%26-Pulses/Masoor-Dal/MANGO/p/000000000400004129|<null>
grocery-desktop|2000|000000000400004129|ec2ba080-7784-11e7-8068-00155d1ce602|True|0.0|BANISH|523|Masoor Dal|Bangalore North|00de9c90-6569-11e7-8068-00155d1ce602|<null>|images/h2c/h76/8806379388958.jpg|135.0|<null>|135.0|<null>|MANGO|000000000400004129|/Grocery-%26-Staples/Dals-%26-Pulses/Masoor-Dal/MANGO/p/000000000400004129|<null>
grocery-desktop|2000|000000000400004145|df070150-78ed-11e7-a25b-00155d1ce602|True|0.0|BANISH|523|Masoor Dal|Bangalore North|3d348cc0-713c-11e7-a25b-00155d1ce602|<null>|images/h52/h8f/8806378733598.png|31.0|<null>|31.0|<null>|Santoor Soap|000000000400004145|/Grocery-%26-Staples/Dals-%26-Pulses/Masoor-Dal/Santoor-Soap/p/000000000400004145|<null>
grocery-desktop|2000|000000000400004145|df070150-78ed-11e7-8068-00155d1ce602|True|0.0|BANISH|523|Masoor Dal|Bangalore North|3d348cc0-713c-11e7-8068-00155d1ce602|<null>|images/h52/h8f/8806378733598.png|31.0|<null>|31.0|<null>|Santoor Soap|000000000400004145|/Grocery-%26-Staples/Dals-%26-Pulses/Masoor-Dal/Santoor-Soap/p/000000000400004145|<null>
grocery-desktop|2000|000000000400004145|3e204bd0-775c-11e7-a2f2-00155d1ce602|True|0.0|BANISH|523|Masoor Dal|Bangalore North|3d348cc0-713c-11e7-a2f2-00155d1ce602|<null>|images/h52/h8f/8806378733598.png|31.0|<null>|31.0|<null>|Santoor Soap|000000000400004145|/Grocery-%26-Staples/Dals-%26-Pulses/Masoor-Dal/Santoor-Soap/p/000000000400004145|<null>
grocery-desktop|2000|000000000400004145|3e204bd0-775c-11e7-8be2-00155d1ce602|True|0.0|BANISH|523|Masoor Dal|Bangalore North|3d348cc0-713c-11e7-8be2-00155d1ce602|<null>|images/h52/h8f/8806378733598.png|31.0|<null>|31.0|<null>|Santoor Soap|000000000400004145|/Grocery-%26-Staples/Dals-%26-Pulses/Masoor-Dal/Santoor-Soap/p/000000000400004145|<null>
grocery-app|T795|000000000491298035|d40ec1c0-7816-11e7-8be2-00155d1ce602|True|0.0|Sri Krishna|CATRIL0602|Namkeen|Pune Cluster|b08f6290-7816-11e7-8be2-00155d1ce602|<null>|images/h7f/hfb/8800519290910.jpg|50.0|True|50.0|<null>|SRI KRISHNA SWEETS KARA SEV 150 g PP|000000000491298035|/Snacks%2C-Sweets-%26-Choclates/Namkeen/Namkeen-%26-Mixtures/Sri-Krishna-Sweets-Kara-Sev-150-gm-/p/000000000491298035|<null>
grocery-app|T793|000000000490456862|6ca166a0-7816-11e7-8be2-00155d1ce602|True|0.0|<null>|CATRIL05070002|Instant Food|Bangalore cluster|26d2eae0-7816-11e7-8be2-00155d1ce602|<null>|images/h82/h28/8800397393950.jpg|12.0|True|12.0|<null>|TIGER KESARI FOOD COLOUR 10 g CON|000000000490456862|/Packaged-Foods/Instant-Food-%26-Ready-to-cook-Mixes/Instant-Food/Tiger-Kesari-Food-Colour-10-gm-/p/000000000490456862|<null>
grocery-app|T795|000000000490442534|db667120-7820-11e7-8be2-00155d1ce602|True|0.0|<null>|CATRIL03040002|Cashew|Pune Cluster|db449140-7820-11e7-8be2-00155d1ce602|<null>|images/hcf/h10/8800789790750.jpg|10.0|True|10.0|<null>|CHINAR 180 RAW CASHEW 200 g PP|000000000490442534|/Grocery/Dry-Fruits/Cashew/Chinar-Raw-Cashew-200-gm/p/000000000490442534|<null>
grocery-app|T795|000000000400004011|ee5dd670-780b-11e7-8be2-00155d1ce602|True|0.0|GENTEEL|CATRIL0702|Soft Drinks|Pune Cluster|daed2dd0-6bbc-11e7-8be2-00155d1ce602|<null>|images/h6e/hc9/8797305831454.jpg|120.0|False|100.0|<null>|Apple|000000000400004011|/Fruits-%26-Vegetables/Fresh-Fruits/Apple/Apple-Fuji-%28Product-Name-Section%29/p/000000000400004011|<null>
grocery-app|T795|000000000490680421|16132810-7815-11e7-8be2-00155d1ce602|True|0.0|Scotch Brite|CATRIL09090003|Other Accessories|Pune Cluster|15e4ec20-7815-11e7-8be2-00155d1ce602|<null>|hbd/h74/8800318390302.jpg|399.0|True|399.0|<null>|SCOTCH BRITE LINT ROLLER 30 SHEETS PP|000000000490680421|/Home-%26-Office-Needs/Cleaning-Aids/Scrubers-%26-Sponges/Scotch-Brite-Lint-Roller-30-Sheets/p/000000000490680421|<null>
grocery-app|T793|000000000491227677|d54f9ba0-7815-11e7-8be2-00155d1ce602|True|0.0|JK|CATRIL03060007|Ready Masalas|Bangalore cluster|6accae00-7813-11e7-8be2-00155d1ce602|<null>|images/h6d/h62/8800304562206.jpg|10.0|True|10.0|<null>|JK HALDI POWDER 500 g PCH|000000000491227677|/Dairy-%26-Bakery/Haldi-Powder/JK-Haldi-Powder-500-gm/p/000000000491227677|<null>
grocery-app|T794|000000000491299369|c5a63560-7815-11e7-8be2-00155d1ce602|True|0.0|<null>|CATRIL09020001|Shampoos|Mumbai cluster|58b38040-7813-11e7-8be2-00155d1ce602|<null>|images/h01/hc1/8800304300062.jpg|80.0|True|80.0|<null>|PATANAJLI SHISHU HAIR CLEANSR 100 ml PET|000000000491299369|/Personal-Care/Hair-Care/Shampoos/Patanajli-Shishu-Hair-Cleanser-100-ml-/p/000000000491299369|<null>
grocery-desktop|2000|000000000400004249|3195ea50-692e-11e7-a25b-00155d1ce602|True|0.0|<null>|523|Masoor Dal|Bangalore North|315c15a0-692e-11e7-a25b-00155d1ce602|000000000400004249|images/h92/hca/8807164051486.jpg|120.0|<null>|110.0|<null>|SUFFOLLO Eatable oil|000000000400004249|/Grocery-%26-Staples/Dals-%26-Pulses/Masoor-Dal/SUFFOLLO-Eatable-oil/p/000000000400004249|'{''packsize'': ''250 gm''}'
grocery-desktop|2000|000000000400004249|3195ea50-692e-11e7-a2f2-00155d1ce602|True|0.0|<null>|523|Masoor Dal|Bangalore North|315c15a0-692e-11e7-a2f2-00155d1ce602|000000000400004249|images/h92/hca/8807164051486.jpg|120.0|<null>|110.0|<null>|SUFFOLLO Eatable oil|000000000400004249|/Grocery-%26-Staples/Dals-%26-Pulses/Masoor-Dal/SUFFOLLO-Eatable-oil/p/000000000400004249|'{''packsize'': ''250 gm''}'
grocery-desktop|2000|000000000400004249|3195ea50-692e-11e7-8068-00155d1ce602|True|0.0|<null>|523|Masoor Dal|Bangalore North|315c15a0-692e-11e7-8068-00155d1ce602|000000000400004249|images/h92/hca/8807164051486.jpg|120.0|<null>|110.0|<null>|SUFFOLLO Eatable oil|000000000400004249|/Grocery-%26-Staples/Dals-%26-Pulses/Masoor-Dal/SUFFOLLO-Eatable-oil/p/000000000400004249|'{''packsize'': ''250 gm''}'
grocery-app|T795|000000000590003528|77f3cdd0-7821-11e7-8be2-00155d1ce602|True|0.0|Best Farms|CATRIL01020008|Papaya, Pineapple, Pomegranate|Pune Cluster|77c802e0-7821-11e7-8be2-00155d1ce602|<null>|images/h02/h2d/8800398049310.jpg|10.0|True|10.0|<null>|BEST FARMS POMEGRANATE (KG)|000000000590003528|/Fruits-%26-Vegetables/Fresh-Fruits/Papaya%2C-Pineapple%2C-Pomegranate/Best-Farms---Pomegranate-1-Kg-/p/000000000590003528|<null>
grocery-desktop|2000|000000000400004174|a88c9050-60b9-11e7-b52b-00155d1ce601|True|0.0|BANISH|523|Masoor Dal|Bangalore North|a86a8960-60b9-11e7-b52b-00155d1ce601|000000000400004174|images/hf3/hc5/8805079711774.jpg|136.0|<null>|137.0|<null>|BESAN KG|000000000400004174|/Grocery-%26-Staples/Dals-%26-Pulses/Masoor-Dal/BESAN-KG/p/000000000400004174|'{''packsize'': ''1 kg''}'
grocery-desktop|2000|000000000400004174|a88c9050-60b9-11e7-aa45-00155d1ce601|True|0.0|BANISH|523|Masoor Dal|Bangalore North|a86a8960-60b9-11e7-aa45-00155d1ce601|000000000400004174|images/hf3/hc5/8805079711774.jpg|136.0|<null>|137.0|<null>|BESAN KG|000000000400004174|/Grocery-%26-Staples/Dals-%26-Pulses/Masoor-Dal/BESAN-KG/p/000000000400004174|'{''packsize'': ''1 kg''}'
grocery-desktop|2000|000000000400004174|a88c9050-60b9-11e7-a45a-00155d1ce602|True|0.0|BANISH|523|Masoor Dal|Bangalore North|a86a8960-60b9-11e7-a45a-00155d1ce602|000000000400004174|images/hf3/hc5/8805079711774.jpg|136.0|<null>|137.0|<null>|BESAN KG|000000000400004174|/Grocery-%26-Staples/Dals-%26-Pulses/Masoor-Dal/BESAN-KG/p/000000000400004174|'{''packsize'': ''1 kg''}'
grocery-desktop|2000|000000000400004174|a88c9050-60b9-11e7-a25b-00155d1ce602|True|0.0|BANISH|523|Masoor Dal|Bangalore North|a86a8960-60b9-11e7-a25b-00155d1ce602|000000000400004174|images/hf3/hc5/8805079711774.jpg|136.0|<null>|137.0|<null>|BESAN KG|000000000400004174|/Grocery-%26-Staples/Dals-%26-Pulses/Masoor-Dal/BESAN-KG/p/000000000400004174|'{''packsize'': ''1 kg''}'
grocery-desktop|2000|000000000400004174|a88c9050-60b9-11e7-a2f2-00155d1ce602|True|0.0|BANISH|523|Masoor Dal|Bangalore North|a86a8960-60b9-11e7-a2f2-00155d1ce602|000000000400004174|images/hf3/hc5/8805079711774.jpg|136.0|<null>|137.0|<null>|BESAN KG|000000000400004174|/Grocery-%26-Staples/Dals-%26-Pulses/Masoor-Dal/BESAN-KG/p/000000000400004174|'{''packsize'': ''1 kg''}'
grocery-desktop|2000|000000000400004174|a88c9050-60b9-11e7-8be2-00155d1ce602|True|0.0|BANISH|523|Masoor Dal|Bangalore North|a86a8960-60b9-11e7-8be2-00155d1ce602|000000000400004174|images/hf3/hc5/8805079711774.jpg|136.0|<null>|137.0|<null>|BESAN KG|000000000400004174|/Grocery-%26-Staples/Dals-%26-Pulses/Masoor-Dal/BESAN-KG/p/000000000400004174|'{''packsize'': ''1 kg''}'
grocery-desktop|2000|000000000400004174|a88c9050-60b9-11e7-8068-00155d1ce602|True|0.0|BANISH|523|Masoor Dal|Bangalore North|a86a8960-60b9-11e7-8068-00155d1ce602|000000000400004174|images/hf3/hc5/8805079711774.jpg|136.0|<null>|137.0|<null>|BESAN KG|000000000400004174|/Grocery-%26-Staples/Dals-%26-Pulses/Masoor-Dal/BESAN-KG/p/000000000400004174|'{''packsize'': ''1 kg''}'
grocery-app|T795|000000000490307868|5bd18950-7838-11e7-8be2-00155d1ce602|True|0.0|<null>|CATRIL03060004|Hing|Pune Cluster|5ba65aa0-7838-11e7-8be2-00155d1ce602|<null>|images/he8/h24/8800889077790.jpg|44.0|True|44.0|<null>|AACHI ASSAFOETIDA CAKE 50 g PP|000000000490307868|/Grocery/Masalas-%26-Spices/Hing/Aachi-Assfoetida%28Cake%29-50-Gm-Pp/p/000000000490307868|<null>
grocery-app|T795|000000000490003120|7d8e4eb0-7dcf-11e7-a8b0-00155d1ce602|True|0.0|<null>|CATRIL10090002|Shoe Care|Pune Cluster|859b21a0-76a4-11e7-a8b0-00155d1ce602|<null>|hc9/hec/8800189251614.jpg|55.0|<null>|55.0|<null>|KIWI MINI SHOE BRUSH|000000000490003120|/Home-%26-Office-Needs/Home-Utilities/Shoe-Care/Kiwi-Mini-Shoe-Brush/p/000000000490003120|<null>
grocery-desktop|2000|000000000400004090|34f0dfa0-58dc-11e7-aa45-00155d1ce601|True|0.0|BANISH|523|Masoor Dal|Bangalore North|e47ed0f0-5678-11e7-aa45-00155d1ce601|000000000400004090|images/h49/hb0/8802683912222.jpg|147.0|<null>|147.0|<null>|SABUDANA AMARAPAYAR 500GM|000000000400004090|/Grocery-%26-Staples/Dals-%26-Pulses/Masoor-Dal/SABUDANA-AMARAPAYAR-500GM/p/000000000400004090|'{''packsize'': ''500 gm''}'
